label	effect	frames	fps	avg_wall_us	p95_wall_us	p99_wall_us	slow_gt_16_7ms	slow_gt_20ms	avg_cpu_pct	p95_cpu_pct	max_trace_cpu_pct	max_sample_cpu_pct	avg_cpu_us	p95_cpu_us	avg_draw_us	p95_draw_us	avg_present_us	p95_present_us	avg_vsync_us	p95_vsync_us	avg_clear_us	p95_clear_us	avg_background_us	p95_background_us	avg_projection_us	p95_projection_us	avg_image_blit_us	p95_image_blit_us	avg_sprite_us	p95_sprite_us	avg_post_us	p95_post_us	avg_hud_us	p95_hud_us	avg_palette_step_count	p95_palette_step_count	max_palette_step_count	avg_lut_lookup_count	p95_lut_lookup_count	max_lut_lookup_count	avg_row_op_count	p95_row_op_count	max_row_op_count	avg_dither_pixel_count	p95_dither_pixel_count	max_dither_pixel_count	avg_flash_pixel_count	p95_flash_pixel_count	max_flash_pixel_count	avg_trail_pixel_count	p95_trail_pixel_count	max_trail_pixel_count	avg_indexed_pixel_count	p95_indexed_pixel_count	max_indexed_pixel_count	avg_reflection_row_count	p95_reflection_row_count	max_reflection_row_count	rss_hwm_kb	visual_ok	date	notes
RASTER-RAW565-AFTER	rainbow-raster-bands	180	61.1	16369	16449	16584	2	0	17	18	26	98	2992	3074	1289	1326	1514	1568	16630	16657	555	600	733	779	0	0	0	0	0	0	0	0	0	0	32	32	32	0	0	0	540	540	540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20112	not-run	2026-06-15T08:03:35Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=3
RASTER-RAW565-AFTER	copper-bar-horizontal-glow	180	61.1	16356	16473	16667	2	0	22	23	35	98	3751	3991	2011	2012	1546	1583	16640	16654	566	602	742	769	703	759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	540	540	540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20112	not-run	2026-06-15T08:03:35Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=3
RASTER-RAW565-AFTER	screen-flash-action	180	61.1	16374	16445	16707	3	0	54	66	91	98	9073	10951	7510	9436	1393	1507	16637	16650	536	591	6783	8905	0	0	0	0	0	0	190	754	0	0	138	540	540	0	0	0	138	540	540	0	0	0	132480	518400	518400	0	0	0	0	0	0	0	0	0	20112	not-run	2026-06-15T08:03:35Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=3
RASTER-RAW565-AFTER	fade-through-indexed-palettes	180	61.1	16361	16437	16766	4	0	62	64	77	98	10316	10633	8828	9135	1342	1371	16642	16652	526	563	8302	8588	0	0	0	0	0	0	0	0	0	0	96	96	96	518400	518400	518400	0	0	0	0	0	0	0	0	0	0	0	0	518400	518400	518400	0	0	0	20112	not-run	2026-06-15T08:03:35Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=3
RASTER-RAW565-AFTER	day-night-palette-swap	180	61.1	16355	16420	17008	3	0	53	56	68	98	8903	9190	7369	7622	1372	1403	16614	16652	538	606	6298	6511	0	0	0	0	532	580	0	0	0	0	96	96	96	518400	518400	518400	24	24	24	0	0	0	0	0	0	0	0	0	518400	518400	518400	0	0	0	20112	not-run	2026-06-15T08:03:35Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=3
RASTER-RAW565-AFTER	limited-color-posterize-transition	180	61.1	16362	16478	16686	3	0	46	49	59	98	7722	8095	6158	6402	1406	1466	16641	16653	553	622	0	0	0	0	5604	5857	0	0	0	0	0	0	0	0	0	8160	8160	8160	0	0	0	0	0	0	0	0	0	0	0	0	522240	522240	522240	0	0	0	20112	not-run	2026-06-15T08:03:35Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=3
RASTER-RAW565-AFTER	dither-dissolve	180	61.2	16351	16403	18983	7	0	92	100	100	98	15232	16067	13659	14579	1429	1472	16645	16655	567	612	0	0	0	0	13091	13543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	518400	518400	518400	0	0	0	0	0	0	0	0	0	0	0	0	20112	not-run	2026-06-15T08:03:35Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=3
RASTER-RAW565-AFTER	ordered-checker-dissolve	180	61.2	16352	16407	18648	7	0	93	100	100	98	15348	15436	13798	13882	1408	1442	16645	16659	544	595	0	0	0	0	13254	13351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	518400	518400	518400	0	0	0	0	0	0	0	0	0	0	0	0	20112	not-run	2026-06-15T08:03:35Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=3
RASTER-RAW565-AFTER	crt-phosphor-fade-trail	180	61.1	16368	16426	16877	4	0	76	81	98	98	12708	13588	11250	11761	1308	1364	16641	16661	530	570	8513	8944	0	0	0	0	0	0	2206	2296	0	0	0	0	0	0	0	0	180	180	180	0	0	0	0	0	0	518400	518400	518400	0	0	0	0	0	0	20112	not-run	2026-06-15T08:03:35Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=3
RASTER-RAW565-AFTER	scanline-brightness-pulse	180	61.1	16367	16459	16584	0	0	21	22	33	98	3651	3774	1968	2017	1489	1509	16633	16658	549	595	746	786	0	0	0	0	0	0	672	705	0	0	6	6	6	0	0	0	1080	1080	1080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20112	not-run	2026-06-15T08:03:35Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=3
