label	effect	frames	fps	avg_wall_us	p95_wall_us	p99_wall_us	slow_gt_16_7ms	slow_gt_20ms	avg_cpu_pct	p95_cpu_pct	max_trace_cpu_pct	max_sample_cpu_pct	avg_cpu_us	p95_cpu_us	avg_draw_us	p95_draw_us	avg_present_us	p95_present_us	avg_vsync_us	p95_vsync_us	avg_clear_us	p95_clear_us	avg_background_us	p95_background_us	avg_projection_us	p95_projection_us	avg_image_blit_us	p95_image_blit_us	avg_sprite_us	p95_sprite_us	avg_post_us	p95_post_us	avg_hud_us	p95_hud_us	avg_glyph_count	p95_glyph_count	max_glyph_count	avg_glyph_pixels	p95_glyph_pixels	max_glyph_pixels	avg_tile_count	p95_tile_count	max_tile_count	avg_vector_segment_count	p95_vector_segment_count	max_vector_segment_count	avg_bob_count	p95_bob_count	max_bob_count	avg_palette_step_count	p95_palette_step_count	max_palette_step_count	avg_hidden_glyph_count	p95_hidden_glyph_count	max_hidden_glyph_count	avg_scroll_offset	p95_scroll_offset	max_scroll_offset	rss_hwm_kb	visual_ok	date	notes
TEXT-FX-SMOKE	amiga-filled-vector-logo-turntable	60	61.1	16364	16464	16833	2	0	27	29	40	103	4623	5011	3152	3394	1334	1382	16641	16655	613	650	2496	2741	42	68	0	0	0	0	0	0	0	0	5	5	5	2075	2075	2075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11612	not-run	2026-06-12T22:18:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
TEXT-FX-SMOKE	amiga-glenz-transparent-text	60	61.1	16368	16510	16643	1	0	19	20	25	103	3305	3378	1567	1628	1556	1608	16640	16654	610	660	816	837	0	0	0	0	139	209	0	0	0	0	20	20	20	7900	7900	7900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11612	not-run	2026-06-12T22:18:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
TEXT-FX-SMOKE	amiga-blenk-metal-text-sweep	60	61.1	16365	16453	16543	0	0	18	19	25	103	3143	3231	1400	1451	1555	1614	16638	16653	613	663	731	769	0	0	0	0	55	64	0	0	0	0	5	5	5	2880	2880	2880	0	0	0	0	0	0	0	0	0	80	80	80	0	0	0	0	0	0	11612	not-run	2026-06-12T22:18:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
TEXT-FX-SMOKE	amiga-rubber-gel-text-twist	60	61.0	16384	16435	16582	1	0	31	31	39	103	5204	5225	3589	3582	1446	1457	16637	16651	594	615	2937	2953	57	60	0	0	0	0	0	0	0	0	6	6	6	3856	4055	4055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11612	not-run	2026-06-12T22:18:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
TEXT-FX-SMOKE	amiga-scrolltext-explode-reassemble	60	61.1	16369	16452	16507	1	0	30	32	38	103	5108	5236	3503	3601	1450	1497	16641	16654	611	649	2743	2847	0	0	0	0	148	177	0	0	0	0	44	44	44	2514	2516	2516	0	0	0	0	0	0	48	48	48	0	0	0	0	0	1	118	224	236	11612	not-run	2026-06-12T22:18:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
TEXT-RAW565-BEFORE	insert-coin-blink-cadence	181	61.2	16333	16444	16641	2	0	19	20	51	89	3207	3369	1565	1669	1458	1524	16583	16660	611	651	779	806	0	0	0	0	173	236	0	0	0	0	27	32	32	7900	9827	9827	0	0	0	0	0	0	0	0	0	0	0	0	4	10	10	0	0	0	10360	not-run	2026-06-15T07:52:08Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=3
TEXT-RAW565-BEFORE	high-score-initials-cursor-pulse	180	61.0	16380	16518	16681	3	0	20	22	30	89	3461	3676	1899	2082	1397	1462	16642	16658	614	727	824	854	0	0	0	0	460	548	0	0	0	0	58	58	58	23525	23525	23525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10360	not-run	2026-06-15T07:52:08Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=3
TEXT-RAW565-BEFORE	sine-wave-text-scroller	180	61.1	16377	16567	16635	2	0	19	20	27	89	3198	3384	1572	1714	1448	1533	16640	16657	607	659	812	847	0	0	0	0	152	285	0	0	0	0	26	48	51	5666	8464	8656	0	0	0	0	0	0	0	0	0	0	0	0	3	15	17	716	1360	1432	10360	not-run	2026-06-15T07:52:08Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=3
TEXT-RAW565-BEFORE	per-letter-bounce	180	61.1	16373	16464	16957	5	0	25	30	44	89	4282	4939	2833	3399	1293	1400	16615	16658	613	680	2132	2635	0	0	0	0	87	123	0	0	0	0	10	10	10	4175	4175	4175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10360	not-run	2026-06-15T07:52:08Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=3
TEXT-RAW565-BEFORE	per-letter-palette-chase	180	61.1	16367	16526	16699	6	0	18	20	28	89	3182	3373	1497	1547	1503	1560	16640	16657	623	665	793	818	0	0	0	0	79	152	0	0	0	0	11	11	11	4300	4300	4300	0	0	0	0	0	0	0	0	0	12	12	12	0	0	0	0	0	0	10360	not-run	2026-06-15T07:52:08Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=3
